編號,案類,date_raw,time_raw,location,year_file,date,hour,crime_category,is_valid,district
1,自行車竊盜,1050101,200,臺中市北屯區中清路與經貿五路口,105,2016-01-01,2,自行車竊盜,1,北屯區
2,自行車竊盜,1050101,1052,臺中市神岡區大漢街櫻花市,105,2016-01-01,10,自行車竊盜,1,神岡區
3,自行車竊盜,1050101,2040,臺中市烏日區高鐵一路與站區二路口,105,2016-01-01,20,自行車竊盜,1,烏日區
4,自行車竊盜,1050103,1900,臺中市北屯區中清路2段,105,2016-01-03,19,自行車竊盜,1,北屯區
5,自行車竊盜,1050105,1645,臺中市南屯區春社里嶺東路與義芳街,105,2016-01-05,16,自行車竊盜,1,南屯區
6,自行車竊盜,1050105,2100,臺中市豐原區三豐路與豐北街,105,2016-01-05,21,自行車竊盜,1,豐原區
7,自行車竊盜,1050108,1215,臺中市北區力行路,105,2016-01-08,12,自行車竊盜,1,北區
8,自行車竊盜,1050113,2300,臺中市大雅區雅楓里8鄰神林南路115巷,105,2016-01-13,23,自行車竊盜,1,大雅區
9,自行車竊盜,1050118,2000,臺中市南屯區同心里大墩路與五權西路,105,2016-01-18,20,自行車竊盜,1,南屯區
10,自行車竊盜,1050122,1200,臺中市豐原區三豐路與豐北街口,105,2016-01-22,12,自行車竊盜,1,豐原區
11,自行車竊盜,1050122,1356,臺中市東區福仁街,105,2016-01-22,13,自行車竊盜,1,東區
12,自行車竊盜,1050127,1340,臺中市北區梅亭街,105,2016-01-27,13,自行車竊盜,1,北區
13,自行車竊盜,1050129,1626,臺中市神岡區岸裡國小前,105,2016-01-29,16,自行車竊盜,1,神岡區
14,自行車竊盜,1050129,1900,臺中市東區復興路4段,105,2016-01-29,19,自行車竊盜,1,東區
15,自行車竊盜,1050130,859,臺中市東區雙十路1段,105,2016-01-30,8,自行車竊盜,1,東區
16,自行車竊盜,1050130,1200,臺中市清水區高美路,105,2016-01-30,12,自行車竊盜,1,清水區
17,自行車竊盜,1050202,1742,臺中市大里區德方南路,105,2016-02-02,17,自行車竊盜,1,大里區
18,自行車竊盜,1050203,250,臺中市南區興大路396巷,105,2016-02-03,2,自行車竊盜,1,南區
19,自行車竊盜,1050203,1329,臺中市南區文心南十路與復興路二段15巷,105,2016-02-03,13,自行車竊盜,1,南區
20,自行車竊盜,1050203,1340,臺中市南區南平路,105,2016-02-03,13,自行車竊盜,1,南區
21,自行車竊盜,1050204,938,臺中市南區台中路,105,2016-02-04,9,自行車竊盜,1,南區
22,自行車竊盜,1050206,1955,臺中市東區復興路4段,105,2016-02-06,19,自行車竊盜,1,東區
23,自行車竊盜,1050213,445,臺中市東區互助街,105,2016-02-13,4,自行車竊盜,1,東區
24,自行車竊盜,1050217,200,臺中市霧峰區四德路,105,2016-02-17,2,自行車竊盜,1,霧峰區
25,自行車竊盜,1050220,346,臺中市西屯區天水西二街,105,2016-02-20,3,自行車竊盜,1,西屯區
26,自行車竊盜,1050225,510,臺中市南區仁德街3巷,105,2016-02-25,5,自行車竊盜,1,南區
27,自行車竊盜,1050226,2130,臺中市北屯區文心路4段,105,2016-02-26,21,自行車竊盜,1,北屯區
28,自行車竊盜,1050302,2030,臺中市潭子區頭家東里8鄰中興北路,105,2016-03-02,20,自行車竊盜,1,潭子區
