編號,案類,date_raw,time_raw,location,year_file,date,hour,crime_category,is_valid,district
1,汽車竊盜,1050110,1100,臺中市北屯區軍功里37鄰軍榮六街,105,2016-01-10,11,汽車竊盜,1,北屯區
2,汽車竊盜,1050111,1200,臺中市西屯區市政北七路朝富路,105,2016-01-11,12,汽車竊盜,1,西屯區
3,汽車竊盜,1050111,2106,臺中市北區育德路尚德街與中清路之間,105,2016-01-11,21,汽車竊盜,1,北區
4,汽車竊盜,1050113,438,臺中市中區臺灣大道1段,105,2016-01-13,4,汽車竊盜,1,中區
5,汽車竊盜,1050114,430,臺中市豐原區北陽一街,105,2016-01-14,4,汽車竊盜,1,豐原區
6,汽車竊盜,1050114,2245,臺中市大里區大明路,105,2016-01-14,22,汽車竊盜,1,大里區
7,汽車竊盜,1050116,130,臺中市東區南京六街與南京二街,105,2016-01-16,1,汽車竊盜,1,東區
8,汽車竊盜,1050116,900,臺中市神岡區圳岸路,105,2016-01-16,9,汽車竊盜,1,神岡區
9,汽車竊盜,1050117,510,臺中市太平區宜文街,105,2016-01-17,5,汽車竊盜,1,太平區
10,汽車竊盜,1050119,730,臺中市中區光復路,105,2016-01-19,7,汽車竊盜,1,中區
11,汽車竊盜,1050120,1420,臺中市豐原區文賢街,105,2016-01-20,14,汽車竊盜,1,豐原區
12,汽車竊盜,1050123,610,臺中市潭子區大通街73巷,105,2016-01-23,6,汽車竊盜,1,潭子區
13,汽車竊盜,1050128,1100,臺中市沙鹿區七賢南路,105,2016-01-28,11,汽車竊盜,1,沙鹿區
14,汽車竊盜,1050129,600,臺中市南屯區中和里中和北二巷,105,2016-01-29,6,汽車竊盜,1,南屯區
15,汽車竊盜,1050129,1028,臺中市太平區新福東街,105,2016-01-29,10,汽車竊盜,1,太平區
16,汽車竊盜,1050129,1530,臺中市后里區甲后路,105,2016-01-29,15,汽車竊盜,1,后里區
17,汽車竊盜,1050130,1330,臺中市南區建國北路與美村路,105,2016-01-30,13,汽車竊盜,1,南區
18,汽車竊盜,1050131,430,臺中市外埔區新厝路,105,2016-01-31,4,汽車竊盜,1,外埔區
19,汽車竊盜,1050201,1130,臺中市西區建國路、康樂街,105,2016-02-01,11,汽車竊盜,1,西區
20,汽車竊盜,1050202,1040,臺中市潭子區豐興路一段400巷,105,2016-02-02,10,汽車竊盜,1,潭子區
21,汽車竊盜,1050204,354,臺中市西屯區中平路與順平一街,105,2016-02-04,3,汽車竊盜,1,西屯區
22,汽車竊盜,1050205,1020,臺中市大甲區新美街91巷,105,2016-02-05,10,汽車竊盜,1,大甲區
23,汽車竊盜,1050211,2213,臺中市北屯區東山路1段,105,2016-02-11,22,汽車竊盜,1,北屯區
24,汽車竊盜,1050211,2330,臺中市大甲區文武路,105,2016-02-11,23,汽車竊盜,1,大甲區
25,汽車竊盜,1050212,420,臺中市西屯區林厝里福雅路,105,2016-02-12,4,汽車竊盜,1,西屯區
26,汽車竊盜,1050216,240,臺中市北屯區更生巷,105,2016-02-16,2,汽車竊盜,1,北屯區
27,汽車竊盜,1050217,129,臺中市大里區仁化路,105,2016-02-17,1,汽車竊盜,1,大里區
28,汽車竊盜,1050223,630,臺中市外埔區土城北路,105,2016-02-23,6,汽車竊盜,1,外埔區
29,汽車竊盜,1050224,20,臺中市西屯區臺灣大道4段,105,2016-02-24,0,汽車竊盜,1,西屯區
30,汽車竊盜,1050227,407,臺中市大里區大里路東里路,105,2016-02-27,4,汽車竊盜,1,大里區
31,汽車竊盜,1050228,700,臺中市沙鹿區清泉里東大路2段,105,2016-02-28,7,汽車竊盜,1,沙鹿區
32,汽車竊盜,1050228,700,臺中市東勢區泰興里石城街,105,2016-02-28,7,汽車竊盜,1,東勢區
33,汽車竊盜,1050229,750,臺中市豐原區圓環北路與三環路,105,2016-02-29,7,汽車竊盜,1,豐原區
34,汽車竊盜,1050229,1120,臺中市東區南京東路與精武路,105,2016-02-29,11,汽車竊盜,1,東區
35,汽車竊盜,1050229,1830,臺中市西屯區福順與福裕路,105,2016-02-29,18,汽車竊盜,1,西屯區
36,汽車竊盜,1050303,830,臺中市太平區大源18街,105,2016-03-03,8,汽車竊盜,1,太平區
37,汽車竊盜,1050304,2130,臺中市東區建成路408巷,105,2016-03-04,21,汽車竊盜,1,東區
38,汽車竊盜,1050306,43,臺中市西區大忠街,105,2016-03-06,0,汽車竊盜,1,西區
39,汽車竊盜,1050306,2000,臺中市西屯區安和路,105,2016-03-06,20,汽車竊盜,1,西屯區
40,汽車竊盜,1050307,800,臺中市大甲區東六路,105,2016-03-07,8,汽車竊盜,1,大甲區
41,汽車竊盜,1050308,1700,臺中市北屯區北屯路200巷,105,2016-03-08,17,汽車竊盜,1,北屯區
42,汽車竊盜,1050308,1800,臺中市南屯區三和里益豐東街,105,2016-03-08,18,汽車竊盜,1,南屯區
43,汽車竊盜,1050309,700,臺中市東區東英十七街與三賢街,105,2016-03-09,7,汽車竊盜,1,東區
44,汽車竊盜,1050309,1300,臺中市后里區義里甲后路,105,2016-03-09,13,汽車竊盜,1,后里區
45,汽車竊盜,1050309,1800,臺中市北屯區柳陽東街,105,2016-03-09,18,汽車竊盜,1,北屯區
46,汽車竊盜,1050311,0,臺中市烏日區光明路,105,2016-03-11,0,汽車竊盜,1,烏日區
47,汽車竊盜,1050311,930,臺中市外埔區永豐里外埔路,105,2016-03-11,9,汽車竊盜,1,外埔區
48,汽車竊盜,1050311,934,臺中市北屯區軍功路2段,105,2016-03-11,9,汽車竊盜,1,北屯區
49,汽車竊盜,1050311,1000,臺中市西屯區協和里安和路,105,2016-03-11,10,汽車竊盜,1,西屯區
50,汽車竊盜,1050311,2200,臺中市沙鹿區文昌街,105,2016-03-11,22,汽車竊盜,1,沙鹿區
51,汽車竊盜,1050315,1500,臺中市大肚區山陽里沙田路3段,105,2016-03-15,15,汽車竊盜,1,大肚區
52,汽車竊盜,1050316,800,臺中市大里區大峰路,105,2016-03-16,8,汽車竊盜,1,大里區
53,汽車竊盜,1050316,1000,臺中市北區光大街,105,2016-03-16,10,汽車竊盜,1,北區
54,汽車竊盜,1050316,1430,臺中市沙鹿區東晉十一街,105,2016-03-16,14,汽車竊盜,1,沙鹿區
55,汽車竊盜,1050321,518,臺中市潭子區東寶里大明二路,105,2016-03-21,5,汽車竊盜,1,潭子區
56,汽車竊盜,1050322,2300,臺中市太平區成功里6鄰東平路375巷,105,2016-03-22,23,汽車竊盜,1,太平區
57,汽車竊盜,1050325,640,臺中市沙鹿區竹林里29鄰福田北街,105,2016-03-25,6,汽車竊盜,1,沙鹿區
58,汽車竊盜,1050326,1052,臺中市北區中清路1段,105,2016-03-26,10,汽車竊盜,1,北區
59,汽車竊盜,1050327,1249,臺中市東區立德街,105,2016-03-27,12,汽車竊盜,1,東區
60,汽車竊盜,1050329,900,臺中市霧峰區本堂里13鄰蘭生街,105,2016-03-29,9,汽車竊盜,1,霧峰區
61,汽車竊盜,1050331,912,臺中市太平區中山路2段,105,2016-03-31,9,汽車竊盜,1,太平區
62,汽車竊盜,1050401,636,臺中市梧棲區中正里中興路217巷,105,2016-04-01,6,汽車竊盜,1,梧棲區
63,汽車竊盜,1050402,232,臺中市霧峰區四德里10鄰四德路,105,2016-04-02,2,汽車竊盜,1,霧峰區
64,汽車竊盜,1050403,2059,臺中市東區雙十路與公園東路,105,2016-04-03,20,汽車竊盜,1,東區
65,汽車竊盜,1050404,610,臺中市大肚區頂街里32鄰大明二街,105,2016-04-04,6,汽車竊盜,1,大肚區
