編號,案類,date_raw,time_raw,location,year_file,date,hour,crime_category,is_valid,district
1,住宅竊盜,1050105,345,臺中市西區美村路1段118巷,105,2016-01-05,3,住宅竊盜,1,西區
2,住宅竊盜,1050105,1100,臺中市豐原區豐勢路二段819巷,105,2016-01-05,11,住宅竊盜,1,豐原區
3,住宅竊盜,1050108,0,臺中市西屯區漢口路2段,105,2016-01-08,0,住宅竊盜,1,西屯區
4,住宅竊盜,1050108,2150,臺中市潭子區豐興路二段338巷,105,2016-01-08,21,住宅竊盜,1,潭子區
5,住宅竊盜,1050112,1540,臺中市北屯區平陽里河北一街,105,2016-01-12,15,住宅竊盜,1,北屯區
6,住宅竊盜,1050113,2225,臺中市北區北平路2段,105,2016-01-13,22,住宅竊盜,1,北區
7,住宅竊盜,1050115,1200,臺中市南區平順街,105,2016-01-15,12,住宅竊盜,1,南區
8,住宅竊盜,1050118,1200,臺中市龍井區藝術南街,105,2016-01-18,12,住宅竊盜,1,龍井區
9,住宅竊盜,1050120,500,臺中市南區新華街,105,2016-01-20,5,住宅竊盜,1,南區
10,住宅竊盜,1050121,800,臺中市豐原區豐東路118巷,105,2016-01-21,8,住宅竊盜,1,豐原區
11,住宅竊盜,1050201,900,臺中市烏日區中山路1段,105,2016-02-01,9,住宅竊盜,1,烏日區
12,住宅竊盜,1050202,1700,臺中市中區自由路2段,105,2016-02-02,17,住宅竊盜,1,中區
13,住宅竊盜,1050203,1000,臺中市東區富榮街,105,2016-02-03,10,住宅竊盜,1,東區
14,住宅竊盜,1050207,1000,臺中市北區東光東街,105,2016-02-07,10,住宅竊盜,1,北區
15,住宅竊盜,1050208,55,臺中市北區永興街298巷,105,2016-02-08,0,住宅竊盜,1,北區
16,住宅竊盜,1050208,1600,臺中市新社區上水底寮小段,105,2016-02-08,16,住宅竊盜,1,新社區
17,住宅竊盜,1050214,1019,臺中市東區台中路127巷,105,2016-02-14,10,住宅竊盜,1,東區
18,住宅竊盜,1050215,245,臺中市西屯區逢福里14鄰惠來路3段260-1巷,105,2016-02-15,2,住宅竊盜,1,西屯區
19,住宅竊盜,1050215,800,臺中市神岡區溪頭路,105,2016-02-15,8,住宅竊盜,1,神岡區
20,住宅竊盜,1050215,1200,臺中市北區中清路1段880巷,105,2016-02-15,12,住宅竊盜,1,北區
21,住宅竊盜,1050216,1500,臺中市南區忠孝路,105,2016-02-16,15,住宅竊盜,1,南區
22,住宅竊盜,1050218,1103,臺中市神岡區豐洲路135巷,105,2016-02-18,11,住宅竊盜,1,神岡區
