date,hour,location,district,crime_category,is_valid
2016-01-02,15,臺中市神岡區福庄街168巷,神岡區,機車竊盜,1
2016-01-04,17,臺中市北區五權路和英士路,北區,機車竊盜,1
2016-01-09,17,臺中市清水區港口路202巷,清水區,機車竊盜,1
2016-01-09,23,臺中市南區南平路,南區,機車竊盜,1
2016-01-11,18,臺中市和平區東關路1段,和平區,機車竊盜,1
2016-01-11,20,臺中市大雅區神林南路197巷,大雅區,機車竊盜,1
2016-01-12,13,臺中市南區復興路3段,南區,機車竊盜,1
2016-01-16,10,臺中市大里區德芳路1段83巷,大里區,機車竊盜,1
2016-01-17,8,臺中市北區中平路,北區,機車竊盜,1
2016-01-17,12,臺中市西屯區福雅路256巷,西屯區,機車竊盜,1
2016-01-18,17,臺中市西屯區逢福里櫻城五街,西屯區,機車竊盜,1
2016-01-18,22,臺中市中區光復路82巷,中區,機車竊盜,1
2016-01-19,21,臺中市西區中華路2段24巷,西區,機車竊盜,1
2016-01-20,2,臺中市梧棲區雲集街與中興路217巷,梧棲區,機車竊盜,1
2016-01-20,20,臺中市霧峰區柳豐東路,霧峰區,機車竊盜,1
2016-01-21,15,臺中市霧峰區中正路,霧峰區,機車竊盜,1
2016-01-21,17,臺中市大甲區中山路與光明路口1段,大甲區,機車竊盜,1
2016-01-21,17,臺中市大甲區甲東路,大甲區,機車竊盜,1
2016-01-22,8,臺中市東區東光路太原火車站,東區,機車竊盜,1
2016-01-22,9,臺中市中區成功路,中區,機車竊盜,1
2016-01-22,13,臺中市大里區至善路,大里區,機車竊盜,1
2016-01-27,3,臺中市太平區鵬儀路,太平區,機車竊盜,1
2016-01-30,12,臺中市西區民權路85巷,西區,機車竊盜,1
2016-01-31,2,臺中市梧棲區梧北路43巷,梧棲區,機車竊盜,1
2016-01-31,23,臺中市中區中華路1段193巷,中區,機車竊盜,1
2016-02-01,6,臺中市南區建國南路,南區,機車竊盜,1
2016-02-02,17,臺中市西屯區順和六街,西屯區,機車竊盜,1
2016-02-02,19,臺中市西屯區臺灣大道4段,西屯區,機車竊盜,1
2016-02-02,22,臺中市南區建國南路1段,南區,機車竊盜,1
2016-02-03,19,臺中市東區信義街與大公街口,東區,機車竊盜,1
2016-02-03,19,臺中市大里區文芳街,大里區,機車竊盜,1
2016-02-06,14,臺中市新社區興安路,新社區,機車竊盜,1
2016-02-07,1,臺中市中區中山路,中區,機車竊盜,1
2016-02-07,10,臺中市東區大振街與建功街口,東區,機車竊盜,1
2016-02-07,21,臺中市龍井區中山一路1段,龍井區,機車竊盜,1
2016-02-08,12,臺中市東區建成路與樂業路,東區,機車竊盜,1
2016-02-09,17,臺中市北區太平路19巷,北區,機車竊盜,1
2016-02-09,22,臺中市北屯區太原火車站,北屯區,機車竊盜,1
2016-02-11,7,臺中市中區雙十路1段,中區,機車竊盜,1
2016-02-12,20,臺中市大里區大明路,大里區,機車竊盜,1
2016-02-13,2,臺中市豐原區中正路,豐原區,機車竊盜,1
2016-02-13,9,臺中市豐原區明義街50巷口,豐原區,機車竊盜,1
2016-02-13,13,臺中市沙鹿區鎮南路2段,沙鹿區,機車竊盜,1
2016-02-13,14,臺中市中區平等街,中區,機車竊盜,1
2016-02-13,14,臺中市潭子區和平路,潭子區,機車竊盜,1
2016-02-14,2,臺中市大里區愛心路130巷,大里區,機車竊盜,1
2016-02-14,3,臺中市豐原區圓環東路,豐原區,機車竊盜,1
2016-02-14,3,臺中市豐原區圓環東路,豐原區,機車竊盜,1
2016-02-15,15,臺中市太平區中興路與太平路口,太平區,機車竊盜,1
2016-02-16,18,臺中市大里區校前路,大里區,機車竊盜,1
2016-02-18,0,臺中市西屯區東海大學內,西屯區,機車竊盜,1
2016-02-18,10,臺中市北區昌平路2段4巷,北區,機車竊盜,1
2016-02-20,10,臺中市東區旱溪西路1段,東區,機車竊盜,1
2016-02-20,13,臺中市豐原區中正路,豐原區,機車竊盜,1
2016-02-21,10,臺中市太平區中平九街,太平區,機車竊盜,1
2016-02-21,18,臺中市沙鹿區成功西街,沙鹿區,機車竊盜,1
2016-02-22,3,臺中市北區武昌路,北區,機車竊盜,1
