編號,案類,發生日期,發生時間,發生地點
1,自行車竊盜,1070101,0800,臺中市南區仁義街與頂橋三巷口
2,自行車竊盜,1070105,0900,臺中市中區中華路與光復路
3,自行車竊盜,1070106,2207,臺中市大肚區中沙路
4,自行車竊盜,1070107,1400,臺中市西屯區何厝街6巷
5,自行車竊盜,1070112,0441,臺中市太平區樹德路
6,自行車竊盜,1070116,0417,臺中市清水區南社里14鄰忠孝路126巷
7,自行車竊盜,1070120,1800,臺中市西屯區工業區一路
8,自行車竊盜,1070126,2044,臺中市霧峰區福新路
9,自行車竊盜,1070130,1030,臺中市北區學士路
10,自行車竊盜,1070130,1111,臺中市西區柳川東路2段93巷
11,自行車竊盜,1070201,1500,臺中市霧峰區中正路
12,自行車竊盜,1070203,1150,臺中市豐原區中正路
13,自行車竊盜,1070208,1256,臺中市龍井區新興路
14,自行車竊盜,1070209,1829,臺中市北屯區同榮路與中清路2段1226巷
15,自行車竊盜,1070210,1853,臺中市東區復興路4段161巷
16,自行車竊盜,1070210,1900,臺中市潭子區勝利十二街51巷
17,自行車竊盜,1070212,1505,臺中市南屯區大英西一街
18,自行車竊盜,1070214,0520,臺中市北屯區中清路2段808巷
19,自行車竊盜,1070216,1350,臺中市大雅區中山北路473巷
20,自行車竊盜,1070217,1300,臺中市北區進化北路
21,自行車竊盜,1070221,0910,臺中市潭子區勝利十二街
22,自行車竊盜,1070222,1025,臺中市豐原區豐東路
23,自行車竊盜,1070224,1430,臺中市北屯區文心路4段
24,自行車竊盜,1070228,1740,臺中市烏日區三民街
25,自行車竊盜,1070308,1520,臺中市沙鹿區中山路
26,自行車竊盜,1070311,1434,臺中市太平區大興十一街
27,自行車竊盜,1070313,1747,臺中市南區大明路與興大路口
28,自行車竊盜,1070315,0900,臺中市北區五常街與英才路
29,自行車竊盜,1070317,1610,臺中市大甲區大安港路11巷
30,自行車竊盜,1070324,2345,臺中市南區五權南路
31,自行車竊盜,1070330,0004,臺中市東區尚武路
32,自行車竊盜,1070331,0230,臺中市神岡區三社路381巷
33,自行車竊盜,1070409,1500,臺中市大里區國光路2段
34,自行車竊盜,1070411,1445,臺中市北屯區后庄路789巷
35,自行車竊盜,1070412,0428,臺中市大甲區鎮政路33號
36,自行車竊盜,1070413,1720,臺中市烏日區中山路3段與振興街口
37,自行車竊盜,1070415,1200,臺中市潭子區大富路1段
38,自行車竊盜,1070416,0955,臺中市北屯區河北西街
39,自行車竊盜,1070418,1730,臺中市北屯區后庄路35巷
40,自行車竊盜,1070420,0535,臺中市大里區大德街
41,自行車竊盜,1070422,1420,臺中市霧峰區吉峰路
42,自行車竊盜,1070424,1800,臺中市西屯區文心路三段
43,自行車竊盜,1070426,0538,臺中市東區復興路5段
44,自行車竊盜,1070429,1421,臺中市西屯區工業區38路
45,自行車竊盜,1070429,1425,臺中市北屯區新興路與中清路2段1226巷
46,自行車竊盜,1070508,1845,臺中市南區南和二街
47,自行車竊盜,1070513,1400,臺中市西區林森路
48,自行車竊盜,1070514,0602,臺中市北屯區梅川東路與文昌二街口
49,自行車竊盜,1070517,2300,臺中市烏日區新烏日火車站公車站
50,自行車竊盜,1070526,0012,臺中市大里區仁化路
51,自行車竊盜,1070526,1149,臺中市梧棲區臺灣大道8段
52,自行車竊盜,1070529,0500,臺中市豐原區豐勢路二段
53,自行車竊盜,1070529,1520,臺中市西屯區文心路三段
54,自行車竊盜,1070529,1649,臺中市北區雙十路1段
55,自行車竊盜,1070530,1026,臺中市大甲區東西六路1段
56,自行車竊盜,1070602,0216,臺中市中區成功路248巷
57,自行車竊盜,1070605,0355,臺中市太平區工業路
58,自行車竊盜,1070609,0826,臺中市大安區南埔與中山南路口
59,自行車竊盜,1070610,1445,臺中市南區仁和二街與正義街口
60,自行車竊盜,1070610,1455,臺中市大里區中興路1段382巷
61,自行車竊盜,1070610,1554,臺中市大里區中興路1段382巷
62,自行車竊盜,1070612,0400,臺中市南區復興路3段348巷
63,自行車竊盜,1070612,0725,臺中市中區民權路
64,自行車竊盜,1070615,0041,臺中市西區五權路
65,自行車竊盜,1070616,0856,臺中市龍井區臺灣大道5段3巷
66,自行車竊盜,1070621,1548,臺中市西屯區福順路
67,自行車竊盜,1070621,1730,臺中市南屯區五權西路2段
68,自行車竊盜,1070626,1042,臺中市南屯區三厝里黎明東街
69,自行車竊盜,1070703,1156,臺中市神岡區中山路1496巷
70,自行車竊盜,1070703,1330,臺中市潭子區興華一路
71,自行車竊盜,1070706,1930,臺中市大肚區平和街
72,自行車竊盜,1070707,1230,臺中市北屯區環中路1段1032巷
73,自行車竊盜,1070708,1430,臺中市潭子區中山路3段
74,自行車竊盜,1070711,1409,臺中市南區福南街
75,自行車竊盜,1070711,2300,臺中市南區五權南路
76,自行車竊盜,1070713,0715,臺中市東區自由路3段
77,自行車竊盜,1070714,0700,臺中市大里區中湖路130巷
78,自行車竊盜,1070715,1920,臺中市潭子區大通街93巷
79,自行車竊盜,1070715,2209,臺中市大里區甲園街
80,自行車竊盜,1070718,0100,臺中市南屯區黎明路1段985巷
81,自行車竊盜,1070720,2200,臺中市烏日區三和里高鐵東一路
82,自行車竊盜,1070724,1540,臺中市太平區中山路2段477巷
83,自行車竊盜,1070726,1746,臺中市大里區德芳南路
84,自行車竊盜,1070728,1050,臺中市大雅區樹德街86巷
85,自行車竊盜,1070730,2019,臺中市大里區成功路
86,自行車竊盜,1070731,1427,臺中市太平區光興路
87,自行車竊盜,1070803,1830,臺中市神岡區神圳路
88,自行車竊盜,1070805,0156,臺中市南區忠明南路
89,自行車竊盜,1070812,1720,臺中市清水區光復街
90,自行車竊盜,1070821,1700,臺中市清水區高美濕地美堤街
91,自行車竊盜,1070822,0032,臺中市西屯區長安路二段
92,自行車竊盜,1070823,1616,臺中市太平區廣三街
93,自行車竊盜,1070902,1500,臺中市豐原區中正路
94,自行車竊盜,1070902,1630,臺中市北區學士路
95,自行車竊盜,1070904,0202,臺中市南區高工路
96,自行車竊盜,1070908,1755,臺中市南區五權南路
97,自行車竊盜,1070909,0317,臺中市烏日區溪南路1段680巷
98,自行車竊盜,1070911,1830,臺中市北屯區崇德路2段
99,自行車竊盜,1070912,1156,臺中市西區民權路
100,自行車竊盜,1070912,1340,臺中市清水區五權路
101,自行車竊盜,1070913,2009,臺中市清水區和平街112巷
102,自行車竊盜,1070917,0735,臺中市中區光復路
103,自行車竊盜,1070922,1110,臺中市北區育德路
104,自行車竊盜,1070924,0913,臺中市北區英士路
105,自行車竊盜,1070927,1700,臺中市大里區成功路
106,自行車竊盜,1070929,0300,臺中市霧峰區振德街29巷
107,自行車竊盜,1070930,1610,臺中市豐原區北陽路40巷
108,自行車竊盜,1071006,1733,臺中市南屯區博愛街80巷
109,自行車竊盜,1071014,1730,臺中市北屯區大連路1段
110,自行車竊盜,1071015,2108,臺中市霧峰區四德路
111,自行車竊盜,1071019,0800,臺中市南區正義街
112,自行車竊盜,1071020,1043,臺中市北區五權路
113,自行車竊盜,1071022,1450,臺中市北區北平路1段
114,自行車竊盜,1071030,0800,臺中市南屯區田心里惠文南街
115,自行車竊盜,1071101,1630,臺中市豐原區市政路
116,自行車竊盜,1071104,1500,臺中市大里區瑞城里瑞和街27巷
117,自行車竊盜,1071105,1800,臺中市大雅區六寶里中清路4段903巷
118,自行車竊盜,1071113,1305,臺中市龍井區龍新路
119,自行車竊盜,1071114,2230,臺中市大甲區中山路1段
120,自行車竊盜,1071115,1800,臺中市清水區中山路
121,自行車竊盜,1071115,2100,臺中市西區梅川東路1段
122,自行車竊盜,1071124,2144,臺中市西區大忠南街
123,自行車竊盜,1071125,1502,臺中市中區臺灣大道1段與繼光街口
124,自行車竊盜,1071130,1834,臺中市南屯區三厝里黎明路2段
125,自行車竊盜,1071204,1730,臺中市神岡區大圳路
126,自行車竊盜,1071206,2040,臺中市北屯區中清路2段與水湳路口
127,自行車竊盜,1071208,2000,臺中市北區忠太東路
128,自行車竊盜,1071208,2020,臺中市神岡區豐洲路
129,自行車竊盜,1071210,1700,臺中市大甲區日南火車站
130,自行車竊盜,1071214,1525,臺中市北區日進路
131,自行車竊盜,1071217,2018,臺中市中區臺灣大道1段
132,自行車竊盜,1071219,0600,臺中市南區美村南路
133,自行車竊盜,1071223,0800,臺中市豐原區成功路356巷
134,自行車竊盜,1071226,0558,臺中市南屯區大興里五權五街
135,自行車竊盜,1071228,1823,臺中市南屯區東興路2段
