編號,案類,發生日期,發生時間,發生地點
1,汽車竊盜,1060103,0800,臺中市豐原區圳寮路內
2,汽車竊盜,1060103,1843,臺中市太平區長億六街
3,汽車竊盜,1060108,0800,臺中市龍井區文昌路與舊車路口文昌路上
4,汽車竊盜,1060114,2201,臺中市北屯區瀋陽路3段
5,汽車竊盜,1060116,0500,臺中市南區南和路
6,汽車竊盜,1060117,0637,臺中市烏日區榮泉路
7,汽車竊盜,1060118,0030,臺中市中區中山路
8,汽車竊盜,1060120,0430,臺中市太平區中山路2段350巷
9,汽車竊盜,1060122,0245,臺中市南屯區田心里向心路68巷
10,汽車竊盜,1060123,0855,臺中市豐原區中陽路與豐東路168巷
11,汽車竊盜,1060202,0305,臺中市太平區環太東路
12,汽車竊盜,1060203,1030,臺中市豐原區水源路與文村街
13,汽車竊盜,1060205,0605,臺中市南屯區三和里公益路2段
14,汽車竊盜,1060209,1400,臺中市清水區中清路9段與港埠路三段
15,汽車竊盜,1060210,2200,臺中市大肚區沙田路1段
16,汽車竊盜,1060214,0820,臺中市沙鹿區沙田路
17,汽車竊盜,1060214,1130,臺中市北屯區中平路與敦化路
18,汽車竊盜,1060215,0000,臺中市南區忠明南路與美村南路路口
19,汽車竊盜,1060215,1800,臺中市沙鹿區竹林里中山路紅竹巷
20,汽車竊盜,1060221,1600,臺中市清水區中社里忠誠路
21,汽車竊盜,1060223,2137,臺中市梧棲區四維西路與大仁路
22,汽車竊盜,1060303,1500,臺中市北屯區軍福九路與和祥五街附近工地空地
23,汽車竊盜,1060307,0330,臺中市西屯區西平南巷
24,汽車竊盜,1060307,0500,臺中市大里區大里里08鄰大里路451巷
25,汽車竊盜,1060309,1430,臺中市梧棲區台灣大道8段
26,汽車竊盜,1060311,0750,臺中市梧棲區自立路
27,汽車竊盜,1060312,0420,臺中市大肚區瑞井里遊園路1段115巷
28,汽車竊盜,1060315,0600,臺中市大肚區遊園路1段150巷
29,汽車竊盜,1060317,0730,臺中市神岡區神岡東街
30,汽車竊盜,1060317,1430,臺中市北區篤行路116巷
31,汽車竊盜,1060321,2030,臺中市南區德富路與大慶街一段130巷口
32,汽車竊盜,1060322,1618,臺中市北屯區南興一路與東山路91巷口
33,汽車竊盜,1060322,2100,臺中市北屯區松竹路1段350巷
34,汽車竊盜,1060323,0000,臺中市南區南平路與高院路
35,汽車竊盜,1060323,0427,臺中市豐原區豐原大道1段
36,汽車竊盜,1060324,0730,臺中市豐原區水源路9巷
37,汽車竊盜,1060324,2200,臺中市大甲區經國路
38,汽車竊盜,1060330,1205,臺中市豐原區豐勢路二段
39,汽車竊盜,1060331,1500,臺中市北屯區?子里太順路
40,汽車竊盜,1060404,2230,臺中市北屯區四平路
41,汽車竊盜,1060410,1630,臺中市烏日區五光路公園三街口
42,汽車竊盜,1060416,2045,臺中市神岡區提南路大甲溪國道四號便橋上
43,汽車竊盜,1060420,0513,臺中市北區立人里中清路1段
44,汽車竊盜,1060420,1405,臺中市南區南和路11巷
45,汽車竊盜,1060421,0403,臺中市豐原區朴子里豐勢路2段855巷
46,汽車竊盜,1060421,0403,臺中市豐原區朴子里豐勢路2段855巷
47,汽車竊盜,1060422,1730,臺中市大甲區信義與育英路口
48,汽車竊盜,1060423,0740,臺中市大里區新仁里016鄰立仁路57巷
49,汽車竊盜,1060424,0820,臺中市南區建國北路與民興街
50,汽車竊盜,1060425,1230,臺中市北屯區松竹路與山西路口
51,汽車竊盜,1060429,1958,臺中市西屯區福林里27鄰西屯路3段
52,汽車竊盜,1060508,2000,臺中市大肚區向上路5段
53,汽車竊盜,1060509,0930,臺中市霧峰區四德路136巷
54,汽車竊盜,1060510,2200,臺中市南區和昌街與福南路口
55,汽車竊盜,1060515,1400,臺中市太平區永成北路
56,汽車竊盜,1060518,1520,臺中市東區自由二街與富榮街
57,汽車竊盜,1060520,0550,臺中市豐原區三環路
58,汽車竊盜,1060525,0500,臺中市南區永南街
59,汽車竊盜,1060526,0220,臺中市北屯區經貿東路
60,汽車竊盜,1060526,2040,臺中市豐原區豐原大道4段
