編號,案類,發生日期,發生時間,發生地點
1,住宅竊盜,1080102,2045,台中市豐原區南陽路488巷
2,住宅竊盜,1080107,1330,台中市豐原區田心路2段247巷
3,住宅竊盜,1080108,1330,台中市豐原區三豐路二段190巷
4,住宅竊盜,1080109,1510,台中市神岡區溪洲路247巷
5,住宅竊盜,1080112,0700,台中市北屯區豐樂二街
6,住宅竊盜,1080114,1230,台中市大里區中興路2段65巷
7,住宅竊盜,1080114,1517,台中市西屯區龍門二街
8,住宅竊盜,1080117,0730,台中市南區五權南路
9,住宅竊盜,1080205,0148,台中市潭子區大豐路1段
10,住宅竊盜,1080207,2301,台中市龍井區中沙路新庄仔巷
11,住宅竊盜,1080213,0205,台中市西屯區美滿東三巷
12,住宅竊盜,1080215,1800,台中市大雅區建興路
13,住宅竊盜,1080219,0150,台中市南屯區惠中里惠中路3段
14,住宅竊盜,1080221,1700,台中市西屯區福東巷
15,住宅竊盜,1080222,1630,台中市潭子區頭張路1段
16,住宅竊盜,1080227,0030,台中市豐原區中正路695巷
17,住宅竊盜,1080228,0527,台中市北區大義街2巷
18,住宅竊盜,1080228,0720,台中市北區中清路1段
19,住宅竊盜,1080228,1630,台中市北屯區崇德一路
20,住宅竊盜,1080307,0000,台中市西屯區大容西街
21,住宅竊盜,1080312,0217,台中市大雅區中山北路
22,住宅竊盜,1080316,0800,台中市豐原區三豐路二段89巷
23,住宅竊盜,1080317,1552,台中市北屯區華美西街2段516巷
24,住宅竊盜,1080322,1400,台中市南區忠孝路165巷
25,住宅竊盜,1080323,1240,台中市太平區光興路1165巷
26,住宅竊盜,1080328,1510,台中市大雅區中和七路
27,住宅竊盜,1080330,1400,台中市北屯區柳楊西街
28,住宅竊盜,1080331,0500,台中市北區衛道路
29,住宅竊盜,1080406,2200,台中市北屯區景賢南二路
30,住宅竊盜,1080410,1330,台中市北屯區柳楊西街
31,住宅竊盜,1080422,0110,台中市西屯區福上巷
32,住宅竊盜,1080422,0325,台中市豐原區豐原區信義街
33,住宅竊盜,1080423,1200,台中市西屯區重慶路
34,住宅竊盜,1080424,0000,台中市太平區祥順路1段386巷
35,住宅竊盜,1080425,2030,台中市南區工學路146巷
36,住宅竊盜,1080429,0700,台中市豐原區豐原區三豐路一段86巷
37,住宅竊盜,1080429,1243,台中市豐原區鎌村路210巷
38,住宅竊盜,1080502,1700,台中市北區一中街
39,住宅竊盜,1080508,1000,台中市北屯區東山路1段199巷
40,住宅竊盜,1080508,1229,台中市北屯區東山路1段207巷
41,住宅竊盜,1080508,1531,台中市東區復興路5段
42,住宅竊盜,1080510,1045,台中市西屯區福上巷
43,住宅竊盜,1080603,0330,台中市大雅區永和路中興巷
44,住宅竊盜,1080610,0800,台中市大里區慈德路310巷
45,住宅竊盜,1080617,0209,台中市西屯區西苑路
46,住宅竊盜,1080617,1448,台中市潭子區大明三路
47,住宅竊盜,1080619,1200,台中市中區興中街
48,住宅竊盜,1080627,1300,台中市西屯區上安路
