編號,案類,發生日期,發生時間,發生地點
1,機車竊盜,1050102,1530,臺中市神岡區福庄街168巷
2,機車竊盜,1050104,1715,臺中市北區五權路和英士路
3,機車竊盜,1050109,1730,臺中市清水區港口路202巷
4,機車竊盜,1050109,2320,臺中市南區南平路
5,機車竊盜,1050111,1840,臺中市和平區東關路1段
6,機車竊盜,1050111,2037,臺中市大雅區神林南路197巷
7,機車竊盜,1050112,1320,臺中市南區復興路3段
8,機車竊盜,1050116,1013,臺中市大里區德芳路1段83巷
9,機車竊盜,1050117,0800,臺中市北區中平路
10,機車竊盜,1050117,1200,臺中市西屯區福雅路256巷
11,機車竊盜,1050118,1700,臺中市西屯區逢福里櫻城五街
12,機車竊盜,1050118,2200,臺中市中區光復路82巷
13,機車竊盜,1050119,2157,臺中市西區中華路2段24巷
14,機車竊盜,1050120,0200,臺中市梧棲區雲集街與中興路217巷
15,機車竊盜,1050120,2000,臺中市霧峰區柳豐東路
16,機車竊盜,1050121,1540,臺中市霧峰區中正路
17,機車竊盜,1050121,1730,臺中市大甲區中山路與光明路口1段
18,機車竊盜,1050121,1738,臺中市大甲區甲東路
19,機車竊盜,1050122,0800,臺中市東區東光路太原火車站
20,機車竊盜,1050122,0940,臺中市中區成功路
21,機車竊盜,1050122,1300,臺中市大里區至善路
22,機車竊盜,1050127,0332,臺中市太平區鵬儀路
23,機車竊盜,1050130,1233,臺中市西區民權路85巷
24,機車竊盜,1050131,0215,臺中市梧棲區梧北路43巷
25,機車竊盜,1050131,2350,臺中市中區中華路1段193巷
26,機車竊盜,1050201,0600,臺中市南區建國南路
27,機車竊盜,1050202,1719,臺中市西屯區順和六街
28,機車竊盜,1050202,1920,臺中市西屯區臺灣大道4段
29,機車竊盜,1050202,2230,臺中市南區建國南路1段
30,機車竊盜,1050203,1935,臺中市東區信義街與大公街口
31,機車竊盜,1050203,1945,臺中市大里區文芳街
32,機車竊盜,1050206,1420,臺中市新社區興安路
33,機車竊盜,1050207,0103,臺中市中區中山路
34,機車竊盜,1050207,1020,臺中市東區大振街與建功街口
35,機車竊盜,1050207,2100,臺中市龍井區中山一路1段
36,機車竊盜,1050208,1200,臺中市東區建成路與樂業路
37,機車竊盜,1050209,1700,臺中市北區太平路19巷
38,機車竊盜,1050209,2251,臺中市北屯區太原火車站
39,機車竊盜,1050211,0700,臺中市中區雙十路1段
40,機車竊盜,1050212,2030,臺中市大里區大明路
41,機車竊盜,1050213,0240,臺中市豐原區中正路
42,機車竊盜,1050213,0900,臺中市豐原區明義街50巷口
